[2017-06-19 22:14:00,908] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:00,908] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:01,058] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (41, 33).
[2017-06-19 22:14:01,058] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (41, 33).
[2017-06-19 22:14:01,108] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:01,108] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:02,870] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (47, 28).
[2017-06-19 22:14:02,870] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (47, 28).
[2017-06-19 22:14:02,873] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:02,873] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:04,191] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (47, 27).
[2017-06-19 22:14:04,191] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (47, 27).
[2017-06-19 22:14:04,745] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:04,745] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:05,799] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (43, 29).
[2017-06-19 22:14:05,799] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (43, 29).
[2017-06-19 22:14:06,531] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:06,531] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:08,827] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (35, 1).
